Qty,Value,Device,Digikey,Adafruit,OpenBCI,
2,.1uF,CAP_CERAMIC0603,399-1095-1-ND,,,
2,100K,R-US_R0603,YAG1235CT-ND,,,
1,1K,R-US_R0603,YAG1237CT-ND,,,
3,1X2-SMD-HEADER,1X2-SMD-HEADER,S1113E-36-ND,,,One of 36 should suffice for two boards
1,1X3-SMD-HEADER,1X3-SMD-HEADER,S1113E-36-ND,,,
1,1X5-SMD-HEADER,1X5-SMD-HEADER,S1113E-36-ND,,,
1,1uF,CAP_CERAMIC0603,399-5090-1-ND,,,
1,LEDFAB1206,LEDFAB1206,160-1169-1-ND,,,
1,RFD22301,RFD22301,1562-1016-ND,,,
1,SLIDE-SWITCH,SLIDE-SWITCH,401-2014-1-ND,,,
1,,HR Sensor,,,https://www.adafruit.com/product/1093,
1,,Flex Sensor,,,https://www.adafruit.com/product/1070,
2,,EDA Electrode Cable,,,https://shop.openbci.com/collections/frontpage/products/emg-ecg-snap-electrode-cables?variant=32372786958,One of 10 should suffice for 5
2,,EDA Electrode,,,https://shop.openbci.com/collections/frontpage/products/skintact-f301-pediatric-foam-solid-gel-electrodes-30-pack?variant=29467659395,One of 30 should suffice for 15 boards
